Data Loading is completed
Total Number of Edges:  11797471
Train Number of Edges:  8258230
Valid Number of Edges:  2359494
Test Number of Edges:  1179747
Graph Splitting is completed
For Feature: esm_features ; Sage Model
Epoch: 00 | Iteration: 00000 | Loss: 0.6937 | Training Accuracy: 50.9766 | AUC Score: 0.4885
Epoch: 00 | Iteration: 04000 | Loss: 0.6144 | Training Accuracy: 67.3828 | AUC Score: 0.7375
Epoch: 00 | Iteration: 08000 | Loss: 0.5980 | Training Accuracy: 67.1875 | AUC Score: 0.7443
Epoch: 00 | Iteration: 12000 | Loss: 0.5863 | Training Accuracy: 69.8242 | AUC Score: 0.7690
Epoch: 00 | Iteration: 16000 | Loss: 0.5783 | Training Accuracy: 70.1172 | AUC Score: 0.7702
Epoch: 00 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 72.1741 | AUC Score: 0.8021
Epoch: 01 | Iteration: 00000 | Loss: 0.5534 | Training Accuracy: 71.1914 | AUC Score: 0.7807
Epoch: 01 | Iteration: 04000 | Loss: 0.5466 | Training Accuracy: 70.2148 | AUC Score: 0.7718
Epoch: 01 | Iteration: 08000 | Loss: 0.5431 | Training Accuracy: 73.5352 | AUC Score: 0.8054
Epoch: 01 | Iteration: 12000 | Loss: 0.5402 | Training Accuracy: 72.1680 | AUC Score: 0.8045
Epoch: 01 | Iteration: 16000 | Loss: 0.5377 | Training Accuracy: 72.3633 | AUC Score: 0.7964
Epoch: 01 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 73.9645 | AUC Score: 0.8217
Epoch: 02 | Iteration: 00000 | Loss: 0.5247 | Training Accuracy: 73.4375 | AUC Score: 0.8069
Epoch: 02 | Iteration: 04000 | Loss: 0.5269 | Training Accuracy: 72.6562 | AUC Score: 0.8019
Epoch: 02 | Iteration: 08000 | Loss: 0.5258 | Training Accuracy: 74.2188 | AUC Score: 0.8070
Epoch: 02 | Iteration: 12000 | Loss: 0.5245 | Training Accuracy: 73.8281 | AUC Score: 0.8113
Epoch: 02 | Iteration: 16000 | Loss: 0.5234 | Training Accuracy: 74.4141 | AUC Score: 0.8149
Epoch: 02 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 74.8177 | AUC Score: 0.8311
Epoch: 03 | Iteration: 00000 | Loss: 0.5151 | Training Accuracy: 73.0469 | AUC Score: 0.8183
Epoch: 03 | Iteration: 04000 | Loss: 0.5182 | Training Accuracy: 73.7305 | AUC Score: 0.8106
Epoch: 03 | Iteration: 08000 | Loss: 0.5176 | Training Accuracy: 71.6797 | AUC Score: 0.7867
Epoch: 03 | Iteration: 12000 | Loss: 0.5168 | Training Accuracy: 74.0234 | AUC Score: 0.8140
Epoch: 03 | Iteration: 16000 | Loss: 0.5163 | Training Accuracy: 71.6797 | AUC Score: 0.7879
Epoch: 03 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 75.2549 | AUC Score: 0.8350
Epoch: 04 | Iteration: 00000 | Loss: 0.5196 | Training Accuracy: 74.3164 | AUC Score: 0.8148
Epoch: 04 | Iteration: 04000 | Loss: 0.5132 | Training Accuracy: 73.5352 | AUC Score: 0.8110
Epoch: 04 | Iteration: 08000 | Loss: 0.5124 | Training Accuracy: 74.3164 | AUC Score: 0.8250
Epoch: 04 | Iteration: 12000 | Loss: 0.5118 | Training Accuracy: 73.0469 | AUC Score: 0.8197
Epoch: 04 | Iteration: 16000 | Loss: 0.5114 | Training Accuracy: 74.9023 | AUC Score: 0.8265
Epoch: 04 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 75.6278 | AUC Score: 0.8393
Epoch: 05 | Iteration: 00000 | Loss: 0.5172 | Training Accuracy: 74.4141 | AUC Score: 0.8181
Epoch: 05 | Iteration: 04000 | Loss: 0.5086 | Training Accuracy: 75.1953 | AUC Score: 0.8289
Epoch: 05 | Iteration: 08000 | Loss: 0.5083 | Training Accuracy: 74.0234 | AUC Score: 0.8200
Epoch: 05 | Iteration: 12000 | Loss: 0.5080 | Training Accuracy: 74.8047 | AUC Score: 0.8187
Epoch: 05 | Iteration: 16000 | Loss: 0.5075 | Training Accuracy: 75.3906 | AUC Score: 0.8231
Epoch: 05 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 75.5719 | AUC Score: 0.8386
Epoch: 06 | Iteration: 00000 | Loss: 0.4985 | Training Accuracy: 73.9258 | AUC Score: 0.8280
Epoch: 06 | Iteration: 04000 | Loss: 0.5057 | Training Accuracy: 76.7578 | AUC Score: 0.8495
Epoch: 06 | Iteration: 08000 | Loss: 0.5053 | Training Accuracy: 74.6094 | AUC Score: 0.8283
Epoch: 06 | Iteration: 12000 | Loss: 0.5050 | Training Accuracy: 74.3164 | AUC Score: 0.8276
Epoch: 06 | Iteration: 16000 | Loss: 0.5048 | Training Accuracy: 75.2930 | AUC Score: 0.8327
Epoch: 06 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 75.9848 | AUC Score: 0.8430
Epoch: 07 | Iteration: 00000 | Loss: 0.5011 | Training Accuracy: 74.3164 | AUC Score: 0.8263
Epoch: 07 | Iteration: 04000 | Loss: 0.5028 | Training Accuracy: 74.6094 | AUC Score: 0.8222
Epoch: 07 | Iteration: 08000 | Loss: 0.5029 | Training Accuracy: 71.8750 | AUC Score: 0.7986
Epoch: 07 | Iteration: 12000 | Loss: 0.5027 | Training Accuracy: 75.0000 | AUC Score: 0.8245
Epoch: 07 | Iteration: 16000 | Loss: 0.5024 | Training Accuracy: 75.2930 | AUC Score: 0.8249
Epoch: 07 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 76.1186 | AUC Score: 0.8442
Epoch: 08 | Iteration: 00000 | Loss: 0.4978 | Training Accuracy: 76.0742 | AUC Score: 0.8345
