Current Combination:  _Alpha_Bio_Prot_
Running models_name:  GTN_GIN
Graph and protein mapping loaded successfully!
Number of nodes in graph: 21435
Example mapping: [('Q9NZK7', 0), ('O43822', 1), ('P08567', 2), ('Q0VDF9', 3), ('Q3KR37', 4)]
original g: Graph(num_nodes=21435, num_edges=10277955,
      ndata_schemes={'protvec': Scheme(shape=(300,), dtype=torch.float32), 'biovec': Scheme(shape=(1024,), dtype=torch.float32), 'alphafold': Scheme(shape=(384,), dtype=torch.float32), 'esm': Scheme(shape=(1280,), dtype=torch.float32)}
      edata_schemes={'weight': Scheme(shape=(), dtype=torch.float32)})

======Before Normalizing======
Embedding: protvec
  Shape: torch.Size([21435, 300])
  Min value: -0.4914022386074066
  Max value: 0.4184800088405609

Embedding: biovec
  Shape: torch.Size([21435, 1024])
  Min value: -1.647519588470459
  Max value: 2.2878119945526123

Embedding: alphafold
  Shape: torch.Size([21435, 384])
  Min value: -3139.99267578125
  Max value: 158.50872802734375

Embedding: esm
  Shape: torch.Size([21435, 1280])
  Min value: -8.801618576049805
  Max value: 1.9987815618515015


======After Normalizing======
Embedding: protvec
  Shape: torch.Size([21435, 300])
  Min value: -0.4914022386074066
  Max value: 0.4184800088405609

Embedding: biovec
  Shape: torch.Size([21435, 1024])
  Min value: -1.647519588470459
  Max value: 2.2878119945526123

Embedding: alphafold
  Shape: torch.Size([21435, 384])
  Min value: -3139.99267578125
  Max value: 158.50872802734375

Embedding: esm
  Shape: torch.Size([21435, 1280])
  Min value: -8.801618576049805
  Max value: 1.9987815618515015

g.ndata['concatenated'].shape: torch.Size([21435, 1708])
After Concatenation g: Graph(num_nodes=21435, num_edges=10277955,
      ndata_schemes={'protvec': Scheme(shape=(300,), dtype=torch.float32), 'biovec': Scheme(shape=(1024,), dtype=torch.float32), 'alphafold': Scheme(shape=(384,), dtype=torch.float32), 'esm': Scheme(shape=(1280,), dtype=torch.float32), 'concatenated': Scheme(shape=(1708,), dtype=torch.float32)}
      edata_schemes={'weight': Scheme(shape=(), dtype=torch.float32)})
Graph and protein mapping loaded successfully!
Number of nodes in graph: 21435
Data Loading is completed
Total Number of Edges:  10275677
Train Number of Edges:  7192975
Valid Number of Edges:  2055135
Test Number of Edges:  1027567
Graph Splitting is completed
For Feature: concatenated ; flag 1.10f GTN Model
=================================
Epoch: 00 |  Iteration: 00000 | Loss: 0.7062 | Training Accuracy: 51.1719 | AUC Score: 0.4961
Epoch: 00 |  Iteration: 04000 | Loss: 0.5679 | Training Accuracy: 72.4609 | AUC Score: 0.7864
Epoch: 00 |  Iteration: 08000 | Loss: 0.5619 | Training Accuracy: 69.5312 | AUC Score: 0.7668
Epoch: 00 |  Iteration: 12000 | Loss: 0.5584 | Training Accuracy: 68.1641 | AUC Score: 0.7507
Epoch: 00 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 69.8760 | AUC Score: 0.7730
Validation accuracy improved to 69.8760, saving model...
Epoch: 01 |  Iteration: 00000 | Loss: 0.5734 | Training Accuracy: 70.8984 | AUC Score: 0.7660
Epoch: 01 |  Iteration: 04000 | Loss: 0.5476 | Training Accuracy: 72.0703 | AUC Score: 0.7832
Epoch: 01 |  Iteration: 08000 | Loss: 0.5464 | Training Accuracy: 73.2422 | AUC Score: 0.7957
Epoch: 01 |  Iteration: 12000 | Loss: 0.5455 | Training Accuracy: 72.5586 | AUC Score: 0.8079
Epoch: 01 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 70.2677 | AUC Score: 0.7780
Validation accuracy improved to 70.2677, saving model...
Epoch: 02 |  Iteration: 00000 | Loss: 0.5401 | Training Accuracy: 72.6562 | AUC Score: 0.7933
Epoch: 02 |  Iteration: 04000 | Loss: 0.5418 | Training Accuracy: 72.1680 | AUC Score: 0.7921
Epoch: 02 |  Iteration: 08000 | Loss: 0.5415 | Training Accuracy: 74.0234 | AUC Score: 0.8042
Epoch: 02 |  Iteration: 12000 | Loss: 0.5410 | Training Accuracy: 70.5078 | AUC Score: 0.7834
Epoch: 02 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 69.8322 | AUC Score: 0.7732
Epoch: 03 |  Iteration: 00000 | Loss: 0.5527 | Training Accuracy: 70.8008 | AUC Score: 0.7834
Epoch: 03 |  Iteration: 04000 | Loss: 0.5388 | Training Accuracy: 73.8281 | AUC Score: 0.8124
Epoch: 03 |  Iteration: 08000 | Loss: 0.5383 | Training Accuracy: 72.0703 | AUC Score: 0.7972
Epoch: 03 |  Iteration: 12000 | Loss: 0.5379 | Training Accuracy: 72.3633 | AUC Score: 0.7932
Epoch: 03 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 69.9842 | AUC Score: 0.7756
Epoch: 04 |  Iteration: 00000 | Loss: 0.5461 | Training Accuracy: 71.3867 | AUC Score: 0.7878
