Data Loading is completed
Total Number of Edges:  10893974
Train Number of Edges:  7625783
Valid Number of Edges:  2178794
Test Number of Edges:  1089397
Graph Splitting is completed
For Feature: alphafold_feat ; Sage Model
Epoch: 00 | Iteration: 00000 | Loss: 0.6942 | Training Accuracy: 52.7344 | AUC Score: 0.5295
Epoch: 00 | Iteration: 04000 | Loss: 0.6274 | Training Accuracy: 65.9180 | AUC Score: 0.7292
Epoch: 00 | Iteration: 08000 | Loss: 0.6020 | Training Accuracy: 70.0195 | AUC Score: 0.7775
Epoch: 00 | Iteration: 12000 | Loss: 0.5879 | Training Accuracy: 72.6562 | AUC Score: 0.7802
Epoch: 00 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 71.3342 | AUC Score: 0.7894
Epoch: 01 | Iteration: 00000 | Loss: 0.6008 | Training Accuracy: 68.3594 | AUC Score: 0.7462
Epoch: 01 | Iteration: 04000 | Loss: 0.5482 | Training Accuracy: 69.9219 | AUC Score: 0.7763
Epoch: 01 | Iteration: 08000 | Loss: 0.5459 | Training Accuracy: 69.5312 | AUC Score: 0.7583
Epoch: 01 | Iteration: 12000 | Loss: 0.5440 | Training Accuracy: 71.5820 | AUC Score: 0.7811
Epoch: 01 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 73.1625 | AUC Score: 0.8125
Epoch: 02 | Iteration: 00000 | Loss: 0.5471 | Training Accuracy: 71.6797 | AUC Score: 0.7859
Epoch: 02 | Iteration: 04000 | Loss: 0.5356 | Training Accuracy: 70.6055 | AUC Score: 0.7975
Epoch: 02 | Iteration: 08000 | Loss: 0.5348 | Training Accuracy: 76.3672 | AUC Score: 0.8426
Epoch: 02 | Iteration: 12000 | Loss: 0.5340 | Training Accuracy: 73.3398 | AUC Score: 0.8011
Epoch: 02 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 74.1412 | AUC Score: 0.8229
Epoch: 03 | Iteration: 00000 | Loss: 0.5307 | Training Accuracy: 73.2422 | AUC Score: 0.8079
Epoch: 03 | Iteration: 04000 | Loss: 0.5298 | Training Accuracy: 72.3633 | AUC Score: 0.7986
Epoch: 03 | Iteration: 08000 | Loss: 0.5290 | Training Accuracy: 74.5117 | AUC Score: 0.8165
Epoch: 03 | Iteration: 12000 | Loss: 0.5282 | Training Accuracy: 73.9258 | AUC Score: 0.8188
Epoch: 03 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 74.4918 | AUC Score: 0.8271
Epoch: 04 | Iteration: 00000 | Loss: 0.5594 | Training Accuracy: 70.5078 | AUC Score: 0.7830
Epoch: 04 | Iteration: 04000 | Loss: 0.5252 | Training Accuracy: 74.9023 | AUC Score: 0.8288
Epoch: 04 | Iteration: 08000 | Loss: 0.5245 | Training Accuracy: 71.5820 | AUC Score: 0.7864
Epoch: 04 | Iteration: 12000 | Loss: 0.5240 | Training Accuracy: 72.9492 | AUC Score: 0.7997
Epoch: 04 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 74.2575 | AUC Score: 0.8244
Epoch: 05 | Iteration: 00000 | Loss: 0.5089 | Training Accuracy: 74.3164 | AUC Score: 0.8209
Epoch: 05 | Iteration: 04000 | Loss: 0.5215 | Training Accuracy: 75.7812 | AUC Score: 0.8347
Epoch: 05 | Iteration: 08000 | Loss: 0.5212 | Training Accuracy: 72.5586 | AUC Score: 0.7895
Epoch: 05 | Iteration: 12000 | Loss: 0.5208 | Training Accuracy: 71.7773 | AUC Score: 0.7891
Epoch: 05 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 75.2247 | AUC Score: 0.8352
Epoch: 06 | Iteration: 00000 | Loss: 0.5266 | Training Accuracy: 75.0000 | AUC Score: 0.8122
Epoch: 06 | Iteration: 04000 | Loss: 0.5185 | Training Accuracy: 75.9766 | AUC Score: 0.8354
Epoch: 06 | Iteration: 08000 | Loss: 0.5183 | Training Accuracy: 75.2930 | AUC Score: 0.8324
Epoch: 06 | Iteration: 12000 | Loss: 0.5180 | Training Accuracy: 73.4375 | AUC Score: 0.8058
Epoch: 06 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 75.3695 | AUC Score: 0.8365
Epoch: 07 | Iteration: 00000 | Loss: 0.5114 | Training Accuracy: 75.6836 | AUC Score: 0.8239
Epoch: 07 | Iteration: 04000 | Loss: 0.5165 | Training Accuracy: 72.6562 | AUC Score: 0.8108
Epoch: 07 | Iteration: 08000 | Loss: 0.5161 | Training Accuracy: 74.7070 | AUC Score: 0.8247
Epoch: 07 | Iteration: 12000 | Loss: 0.5159 | Training Accuracy: 75.3906 | AUC Score: 0.8209
Epoch: 07 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 75.5264 | AUC Score: 0.8386
Epoch: 08 | Iteration: 00000 | Loss: 0.5106 | Training Accuracy: 76.0742 | AUC Score: 0.8277
Epoch: 08 | Iteration: 04000 | Loss: 0.5151 | Training Accuracy: 75.1953 | AUC Score: 0.8276
Epoch: 08 | Iteration: 08000 | Loss: 0.5148 | Training Accuracy: 72.8516 | AUC Score: 0.8087
Epoch: 08 | Iteration: 12000 | Loss: 0.5146 | Training Accuracy: 72.4609 | AUC Score: 0.7983
