Protein_ID,Superfamily,Family,Subfamily
P00918,,alpha-carbonic anhydrase family,
P0A7B8,,peptidase T1B family,HslV subfamily
P00533,protein kinase superfamily,Tyr protein kinase family,EGF receptor subfamily
P68871,,globin family,
P02768,,ALB/AFP/VDB family,
Q9Y6K9,,No SIMILARITY comment found,
P01308,,insulin family,
P69905,,globin family,
P00720,,glycosyl hydrolase 24 family,
P02144,,globin family,
P01112,small GTPase superfamily,Ras family,
P60709,,actin family,
P04637,,p53 family,
P63000,small GTPase superfamily,Rho family,
P00519,protein kinase superfamily,Tyr protein kinase family,ABL subfamily
P68431,,histone H3 family,
Q15118,,PDK/BCKDK protein kinase family,
P08238,,heat shock protein 90 family,
P02787,,transferrin family,
P42224,,transcription factor STAT family,
