Protein_ID,Superfamily,Family,Subfamily
A0A024QZJ7,,No SIMILARITY comment found,
A0A024QZN9,,No SIMILARITY comment found,
A0A024QZP7,protein kinase superfamily,CMGC Ser/Thr protein kinase family,CDC2/CDKX subfamily
A0A024QZR3,,No SIMILARITY comment found,
A0A024QZS4,,No SIMILARITY comment found,
A0A024QZT2,,No SIMILARITY comment found,
A0A024QZW7,,No SIMILARITY comment found,
A0A024QZY1,,No SIMILARITY comment found,
A0A024R0C3,,No SIMILARITY comment found,
A0A024R0E2,,No SIMILARITY comment found,
A0A024R0H2,,No SIMILARITY comment found,
A0A024R0H7,,No SIMILARITY comment found,
A0A024R0L5,,No SIMILARITY comment found,
A0A024R0L6,,'GDSL' lipolytic enzyme family,Platelet-activating factor acetylhydrolase IB beta/gamma subunits subfamily
A0A024R0L9,,No SIMILARITY comment found,
A0A024R0M6,,No SIMILARITY comment found,
A0A024R0R4,,No SIMILARITY comment found,
A0A024R0Y4,,No SIMILARITY comment found,
A0A024R0Z3,,No SIMILARITY comment found,
A0A024R136,,No SIMILARITY comment found,
A0A024R161,,DNAJC25 family,
A0A024R169,,No SIMILARITY comment found,
A0A024R1A3,,ubiquitin-activating E1 family,
A0A024R1A4,,No SIMILARITY comment found,
A0A024R1K7,,No SIMILARITY comment found,
A0A024R1L7,,No SIMILARITY comment found,
A0A024R1N4,,No SIMILARITY comment found,
A0A024R1Q8,,No SIMILARITY comment found,
A0A024R1U0,,No SIMILARITY comment found,
A0A024R1U4,,No SIMILARITY comment found,
A0A024R1V4,,No SIMILARITY comment found,
A0A024R1X8,,No SIMILARITY comment found,
A0A024R1Z1,,No SIMILARITY comment found,
A0A024R1Z6,,No SIMILARITY comment found,
A0A024R201,,No SIMILARITY comment found,
A0A024R203,,No SIMILARITY comment found,
A0A024R254,,No SIMILARITY comment found,
A0A024R275,,No SIMILARITY comment found,
A0A024R2A7,,No SIMILARITY comment found,
A0A024R2Q4,,No SIMILARITY comment found,
A0A024R2W3,,cAMP-dependent kinase regulatory chain family,
A0A024R2Z6,,No SIMILARITY comment found,
A0A024R324,,No SIMILARITY comment found,
A0A024R329,,No SIMILARITY comment found,
A0A024R394,,No SIMILARITY comment found,
A0A024R3D8,,No SIMILARITY comment found,
A0A024R3E3,,apolipoprotein A1/A4/E family,
A0A024R3L1,,No SIMILARITY comment found,
A0A024R3R5,,No SIMILARITY comment found,
A0A024R3V8,,No SIMILARITY comment found,
A0A024R3W7,,No SIMILARITY comment found,
A0A024R3X4,,chaperonin (HSP60) family,
A0A024R493,,No SIMILARITY comment found,
A0A024R4B0,,No SIMILARITY comment found,
A0A024R4E5,,No SIMILARITY comment found,
A0A024R4K3,LDH/MDH superfamily,MDH type 1 family,
A0A024R4M0,,No SIMILARITY comment found,
A0A024R4Q5,,No SIMILARITY comment found,
A0A024R4Q8,,No SIMILARITY comment found,
A0A024R4U3,,No SIMILARITY comment found,
A0A024R4Z4,,No SIMILARITY comment found,
A0A024R5F7,,ERG4/ERG24 family,
A0A024R5S0,,No SIMILARITY comment found,
A0A024R5X7,,No SIMILARITY comment found,
A0A024R5Z7,,annexin family,
A0A024R601,,No SIMILARITY comment found,
A0A024R608,,No SIMILARITY comment found,
A0A024R625,,PPP phosphatase family,
A0A024R637,,No SIMILARITY comment found,
A0A024R644,,No SIMILARITY comment found,
A0A024R687,,No SIMILARITY comment found,
A0A024R6D1,,No SIMILARITY comment found,
A0A024R6D8,,No SIMILARITY comment found,
A0A024R6G0,,No SIMILARITY comment found,
A0A024R6H1,,No SIMILARITY comment found,
A0A024R6J8,,iodothyronine deiodinase family,
A0A024R6M6,,No SIMILARITY comment found,
A0A024R6S1,,No SIMILARITY comment found,
A0A024R6W0,,No SIMILARITY comment found,
A0A024R6W2,,No SIMILARITY comment found,
A0A024R6X4,,No SIMILARITY comment found,
A0A024R718,,No SIMILARITY comment found,
A0A024R745,,No SIMILARITY comment found,
A0A024R7B7,,No SIMILARITY comment found,
A0A024R7E3,,No SIMILARITY comment found,
A0A024R7F9,,No SIMILARITY comment found,
A0A024R7I3,,No SIMILARITY comment found,
A0A024R7I5,,No SIMILARITY comment found,
A0A024R7M6,,No SIMILARITY comment found,
A0A024R7T3,,No SIMILARITY comment found,
A0A024R7U6,,No SIMILARITY comment found,
A0A024R7V6,,No SIMILARITY comment found,
A0A024R814,,No SIMILARITY comment found,
A0A024R845,,No SIMILARITY comment found,
A0A024R866,,No SIMILARITY comment found,
A0A024R870,,No SIMILARITY comment found,
A0A024R880,,No SIMILARITY comment found,
A0A024R8A2,,No SIMILARITY comment found,
A0A024R8A7,,No SIMILARITY comment found,
A0A024R8A9,,No SIMILARITY comment found,
A0A024R8D4,,No SIMILARITY comment found,
A0A024R8E4,,No SIMILARITY comment found,
A0A024R8J2,,No SIMILARITY comment found,
A0A024R8L2,,No SIMILARITY comment found,
A0A024R8L5,,No SIMILARITY comment found,
A0A024R8L7,,No SIMILARITY comment found,
A0A024R8P8,,No SIMILARITY comment found,
A0A024R8R4,,No SIMILARITY comment found,
A0A024R8S5,,protein disulfide isomerase family,
A0A024R8U5,,No SIMILARITY comment found,
A0A024R8W0,,No SIMILARITY comment found,
A0A024R904,,No SIMILARITY comment found,
A0A024R994,,No SIMILARITY comment found,
A0A024R9A9,,No SIMILARITY comment found,
A0A024R9D3,,No SIMILARITY comment found,
A0A024R9D7,,No SIMILARITY comment found,
A0A024R9F6,,No SIMILARITY comment found,
A0A024R9J0,,No SIMILARITY comment found,
A0A024R9N6,,No SIMILARITY comment found,
A0A024R9W5,,No SIMILARITY comment found,
A0A024R9Y6,,No SIMILARITY comment found,
A0A024R9Y7,,No SIMILARITY comment found,
A0A024RA52,,peptidase T1A family,
A0A024RA76,,No SIMILARITY comment found,
A0A024RAC5,,No SIMILARITY comment found,
A0A024RAD5,,No SIMILARITY comment found,
A0A024RAE1,,No SIMILARITY comment found,
A0A024RAF0,,No SIMILARITY comment found,
A0A024RAI1,,No SIMILARITY comment found,
A0A024RAM0,,No SIMILARITY comment found,
A0A024RAM4,,No SIMILARITY comment found,
A0A024RAQ3,,No SIMILARITY comment found,
A0A024RAZ7,,No SIMILARITY comment found,
A0A024RB16,,No SIMILARITY comment found,
A0A024RB87,,No SIMILARITY comment found,
A0A024RBA9,,No SIMILARITY comment found,
A0A024RBB7,,No SIMILARITY comment found,
A0A024RBE8,,29) family,
A0A024RBF6,,No SIMILARITY comment found,
A0A024RBH2,,No SIMILARITY comment found,
A0A024RBS2,,No SIMILARITY comment found,
A0A024RBS3,,No SIMILARITY comment found,
A0A024RBV4,,No SIMILARITY comment found,
A0A024RBX6,,No SIMILARITY comment found,
A0A024RBX8,,No SIMILARITY comment found,
A0A024RC29,,No SIMILARITY comment found,
A0A024RC46,,No SIMILARITY comment found,
A0A024RC47,,No SIMILARITY comment found,
A0A024RCB9,,No SIMILARITY comment found,
A0A024RCD1,,No SIMILARITY comment found,
A0A024RCN6,,class-I aminoacyl-tRNA synthetase family,
A0A024RCN7,,No SIMILARITY comment found,
A0A024RCP2,,No SIMILARITY comment found,
A0A024RCZ4,,No SIMILARITY comment found,
A0A024RD03,,No SIMILARITY comment found,
A0A024RD80,,No SIMILARITY comment found,
A0A024RDE5,,No SIMILARITY comment found,
A0A024RDE8,,No SIMILARITY comment found,
A0A024RDJ1,,No SIMILARITY comment found,
