Current Combination:  _Bio_Prot_
Running models_name:  GTN
Graph and protein mapping loaded successfully!
Number of nodes in graph: 21435
Example mapping: [('Q9NZK7', 0), ('O43822', 1), ('P08567', 2), ('Q0VDF9', 3), ('Q3KR37', 4)]
original g: Graph(num_nodes=21435, num_edges=10277955,
      ndata_schemes={'protvec': Scheme(shape=(300,), dtype=torch.float32), 'biovec': Scheme(shape=(1024,), dtype=torch.float32), 'alphafold': Scheme(shape=(384,), dtype=torch.float32), 'esm': Scheme(shape=(1280,), dtype=torch.float32)}
      edata_schemes={'weight': Scheme(shape=(), dtype=torch.float32)})

======Before Normalizing======
Embedding: protvec
  Shape: torch.Size([21435, 300])
  Min value: -0.4914022386074066
  Max value: 0.4184800088405609

Embedding: biovec
  Shape: torch.Size([21435, 1024])
  Min value: -1.647519588470459
  Max value: 2.2878119945526123

Embedding: alphafold
  Shape: torch.Size([21435, 384])
  Min value: -3139.99267578125
  Max value: 158.50872802734375

Embedding: esm
  Shape: torch.Size([21435, 1280])
  Min value: -8.801618576049805
  Max value: 1.9987815618515015


======After Normalizing======
Embedding: protvec
  Shape: torch.Size([21435, 300])
  Min value: -0.4914022386074066
  Max value: 0.4184800088405609

Embedding: biovec
  Shape: torch.Size([21435, 1024])
  Min value: -1.647519588470459
  Max value: 2.2878119945526123

Embedding: alphafold
  Shape: torch.Size([21435, 384])
  Min value: -3139.99267578125
  Max value: 158.50872802734375

Embedding: esm
  Shape: torch.Size([21435, 1280])
  Min value: -8.801618576049805
  Max value: 1.9987815618515015

g.ndata['concatenated'].shape: torch.Size([21435, 1324])
After Concatenation g: Graph(num_nodes=21435, num_edges=10277955,
      ndata_schemes={'protvec': Scheme(shape=(300,), dtype=torch.float32), 'biovec': Scheme(shape=(1024,), dtype=torch.float32), 'alphafold': Scheme(shape=(384,), dtype=torch.float32), 'esm': Scheme(shape=(1280,), dtype=torch.float32), 'concatenated': Scheme(shape=(1324,), dtype=torch.float32)}
      edata_schemes={'weight': Scheme(shape=(), dtype=torch.float32)})
Graph and protein mapping loaded successfully!
Number of nodes in graph: 21435
Data Loading is completed
Total Number of Edges:  10275677
Train Number of Edges:  7192975
Valid Number of Edges:  2055135
Test Number of Edges:  1027567
Graph Splitting is completed
For Feature: concatenated ; flag 1.10f GTN Model
=================================
Epoch: 00 |  Iteration: 00000 | Loss: 0.6934 | Training Accuracy: 53.2227 | AUC Score: 0.5330
Epoch: 00 |  Iteration: 04000 | Loss: 0.5681 | Training Accuracy: 70.4102 | AUC Score: 0.7729
Epoch: 00 |  Iteration: 08000 | Loss: 0.5619 | Training Accuracy: 72.4609 | AUC Score: 0.7904
Epoch: 00 |  Iteration: 12000 | Loss: 0.5584 | Training Accuracy: 69.2383 | AUC Score: 0.7715
Epoch: 00 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 69.6023 | AUC Score: 0.7703
Validation accuracy improved to 69.6023, saving model...
Epoch: 01 |  Iteration: 00000 | Loss: 0.5741 | Training Accuracy: 69.1406 | AUC Score: 0.7580
Epoch: 01 |  Iteration: 04000 | Loss: 0.5474 | Training Accuracy: 71.6797 | AUC Score: 0.7738
Epoch: 01 |  Iteration: 08000 | Loss: 0.5465 | Training Accuracy: 70.6055 | AUC Score: 0.7823
Epoch: 01 |  Iteration: 12000 | Loss: 0.5456 | Training Accuracy: 74.5117 | AUC Score: 0.8250
Epoch: 01 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 70.6319 | AUC Score: 0.7831
Validation accuracy improved to 70.6319, saving model...
Epoch: 02 |  Iteration: 00000 | Loss: 0.5508 | Training Accuracy: 72.4609 | AUC Score: 0.7867
Epoch: 02 |  Iteration: 04000 | Loss: 0.5418 | Training Accuracy: 71.0938 | AUC Score: 0.7843
Epoch: 02 |  Iteration: 08000 | Loss: 0.5411 | Training Accuracy: 71.1914 | AUC Score: 0.7860
Epoch: 02 |  Iteration: 12000 | Loss: 0.5406 | Training Accuracy: 71.0938 | AUC Score: 0.7869
Epoch: 02 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 70.0697 | AUC Score: 0.7761
Epoch: 03 |  Iteration: 00000 | Loss: 0.5575 | Training Accuracy: 69.9219 | AUC Score: 0.7765
Epoch: 03 |  Iteration: 04000 | Loss: 0.5382 | Training Accuracy: 71.3867 | AUC Score: 0.7780
Epoch: 03 |  Iteration: 08000 | Loss: 0.5378 | Training Accuracy: 71.0938 | AUC Score: 0.7846
Epoch: 03 |  Iteration: 12000 | Loss: 0.5373 | Training Accuracy: 73.5352 | AUC Score: 0.8039
Epoch: 03 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 70.7469 | AUC Score: 0.7849
Validation accuracy improved to 70.7469, saving model...
