Current Combination:  _Bio_ESM_Prot_
Running models_name:  GTN_GIN
Graph and protein mapping loaded successfully!
Number of nodes in graph: 21435
Example mapping: [('Q9NZK7', 0), ('O43822', 1), ('P08567', 2), ('Q0VDF9', 3), ('Q3KR37', 4)]
original g: Graph(num_nodes=21435, num_edges=10277955,
      ndata_schemes={'protvec': Scheme(shape=(300,), dtype=torch.float32), 'biovec': Scheme(shape=(1024,), dtype=torch.float32), 'alphafold': Scheme(shape=(384,), dtype=torch.float32), 'esm': Scheme(shape=(1280,), dtype=torch.float32)}
      edata_schemes={'weight': Scheme(shape=(), dtype=torch.float32)})

======Before Normalizing======
Embedding: protvec
  Shape: torch.Size([21435, 300])
  Min value: -0.4914022386074066
  Max value: 0.4184800088405609

Embedding: biovec
  Shape: torch.Size([21435, 1024])
  Min value: -1.647519588470459
  Max value: 2.2878119945526123

Embedding: alphafold
  Shape: torch.Size([21435, 384])
  Min value: -3139.99267578125
  Max value: 158.50872802734375

Embedding: esm
  Shape: torch.Size([21435, 1280])
  Min value: -8.801618576049805
  Max value: 1.9987815618515015


======After Normalizing======
Embedding: protvec
  Shape: torch.Size([21435, 300])
  Min value: -0.4914022386074066
  Max value: 0.4184800088405609

Embedding: biovec
  Shape: torch.Size([21435, 1024])
  Min value: -1.647519588470459
  Max value: 2.2878119945526123

Embedding: alphafold
  Shape: torch.Size([21435, 384])
  Min value: -3139.99267578125
  Max value: 158.50872802734375

Embedding: esm
  Shape: torch.Size([21435, 1280])
  Min value: -8.801618576049805
  Max value: 1.9987815618515015

g.ndata['concatenated'].shape: torch.Size([21435, 2604])
After Concatenation g: Graph(num_nodes=21435, num_edges=10277955,
      ndata_schemes={'protvec': Scheme(shape=(300,), dtype=torch.float32), 'biovec': Scheme(shape=(1024,), dtype=torch.float32), 'alphafold': Scheme(shape=(384,), dtype=torch.float32), 'esm': Scheme(shape=(1280,), dtype=torch.float32), 'concatenated': Scheme(shape=(2604,), dtype=torch.float32)}
      edata_schemes={'weight': Scheme(shape=(), dtype=torch.float32)})
Graph and protein mapping loaded successfully!
Number of nodes in graph: 21435
Data Loading is completed
Total Number of Edges:  10275677
Train Number of Edges:  7192975
Valid Number of Edges:  2055135
Test Number of Edges:  1027567
Graph Splitting is completed
For Feature: concatenated ; flag 1.10f GTN Model
=================================
Epoch: 00 |  Iteration: 00000 | Loss: 0.6963 | Training Accuracy: 53.5156 | AUC Score: 0.5247
Epoch: 00 |  Iteration: 04000 | Loss: 0.5569 | Training Accuracy: 72.9492 | AUC Score: 0.7853
Epoch: 00 |  Iteration: 08000 | Loss: 0.5493 | Training Accuracy: 72.9492 | AUC Score: 0.8071
Epoch: 00 |  Iteration: 12000 | Loss: 0.5450 | Training Accuracy: 70.8008 | AUC Score: 0.7840
Epoch: 00 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 71.1158 | AUC Score: 0.7876
Validation accuracy improved to 71.1158, saving model...
Epoch: 01 |  Iteration: 00000 | Loss: 0.5368 | Training Accuracy: 73.6328 | AUC Score: 0.8002
Epoch: 01 |  Iteration: 04000 | Loss: 0.5313 | Training Accuracy: 73.8281 | AUC Score: 0.8038
Epoch: 01 |  Iteration: 08000 | Loss: 0.5304 | Training Accuracy: 73.2422 | AUC Score: 0.7937
Epoch: 01 |  Iteration: 12000 | Loss: 0.5293 | Training Accuracy: 73.6328 | AUC Score: 0.8041
Epoch: 01 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 72.2918 | AUC Score: 0.8010
Validation accuracy improved to 72.2918, saving model...
Epoch: 02 |  Iteration: 00000 | Loss: 0.5158 | Training Accuracy: 74.6094 | AUC Score: 0.8193
Epoch: 02 |  Iteration: 04000 | Loss: 0.5250 | Training Accuracy: 74.5117 | AUC Score: 0.8091
Epoch: 02 |  Iteration: 08000 | Loss: 0.5244 | Training Accuracy: 74.7070 | AUC Score: 0.8138
Epoch: 02 |  Iteration: 12000 | Loss: 0.5238 | Training Accuracy: 73.5352 | AUC Score: 0.8063
Epoch: 02 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 71.9400 | AUC Score: 0.7964
Epoch: 03 |  Iteration: 00000 | Loss: 0.5379 | Training Accuracy: 72.6562 | AUC Score: 0.7996
Epoch: 03 |  Iteration: 04000 | Loss: 0.5214 | Training Accuracy: 72.0703 | AUC Score: 0.7959
Epoch: 03 |  Iteration: 08000 | Loss: 0.5206 | Training Accuracy: 73.9258 | AUC Score: 0.8155
Epoch: 03 |  Iteration: 12000 | Loss: 0.5202 | Training Accuracy: 75.0000 | AUC Score: 0.8245
Epoch: 03 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 72.2411 | AUC Score: 0.8009
Epoch: 04 |  Iteration: 00000 | Loss: 0.5306 | Training Accuracy: 73.5352 | AUC Score: 0.8082
